experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
dsc24,42,checkpoints/dsc24/best.pt,BKS - Too Much,bass,-9.26185131072998,-2.6213623948026274,nan,-0.1200509611390931,-16.675354783248004,11791561,28008.9952640119
dsc24,42,checkpoints/dsc24/best.pt,BKS - Too Much,other,-6.263146877288818,-11.151761818182564,nan,-4.579450682284524,-2.1117422778136055,11791561,28008.9952640119
dsc24,42,checkpoints/dsc24/best.pt,Ben Carrigan - We'll Talk About It All Tonight,vocals,-20.323057174682617,-7.454978754332089,nan,-15.193440997362192,-1.9316454528258287,11791561,32529.7526360373
dsc24,42,checkpoints/dsc24/best.pt,Ben Carrigan - We'll Talk About It All Tonight,drums,-12.008426666259766,0.183402660411667,nan,-9.433684688890818,0.3381888187175685,11791561,32529.7526360373
dsc24,42,checkpoints/dsc24/best.pt,Ben Carrigan - We'll Talk About It All Tonight,bass,-9.058454513549805,-6.257522591686438,nan,-8.564730315431513,7.705042544835338,11791561,32529.7526360373
dsc24,42,checkpoints/dsc24/best.pt,Ben Carrigan - We'll Talk About It All Tonight,other,-2.793848752975464,-7.077421172670729,nan,-0.15628326169031426,-1.2522904738141365,11791561,32529.7526360373
dsc24,42,checkpoints/dsc24/best.pt,Bobby Nobody - Stitch Up,vocals,-24.479219436645508,-7.381496693455409,nan,-18.901832695863376,-1.3664138452350634,11791561,28198.057499015704
dsc24,42,checkpoints/dsc24/best.pt,Bobby Nobody - Stitch Up,drums,-12.137163162231445,0.22701840227215297,nan,-9.97586294868233,0.4807027856927134,11791561,28198.057499015704
dsc24,42,checkpoints/dsc24/best.pt,Bobby Nobody - Stitch Up,bass,-10.971884727478027,-2.3629085825013427,nan,-9.786611960736751,3.1946643965068215,11791561,28198.057499015704
dsc24,42,checkpoints/dsc24/best.pt,Bobby Nobody - Stitch Up,other,-4.808002948760986,-8.674872450195256,nan,-2.7134464611344873,-0.20877420146964284,11791561,28198.057499015704
dsc24,42,checkpoints/dsc24/best.pt,Buitraker - Revo X,vocals,-27.58953285217285,-9.939059670104339,nan,-19.882777024175766,-1.5466182503120587,11791561,35171.70083796373
dsc24,42,checkpoints/dsc24/best.pt,Buitraker - Revo X,drums,-12.239093780517578,0.16769486191062807,nan,-8.827687728489838,0.22642263533496304,11791561,35171.70083796373
