experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
baseline,42,checkpoints/baseline/best.pt,Ben Carrigan - We'll Talk About It All Tonight,other,-5.0662641525268555,1.1136712489659706,nan,-1.7745261624108863,1.6642202899199656,24300721,35754.204762983136
baseline,42,checkpoints/baseline/best.pt,Bobby Nobody - Stitch Up,vocals,-3.8707075119018555,-9.024395513896454,nan,-2.846507137055975,0.582164869951435,24300721,30803.05645405315
baseline,42,checkpoints/baseline/best.pt,Bobby Nobody - Stitch Up,drums,-0.3116839528083801,-2.150866034208268,nan,0.4678005286371082,6.4086653155039714,24300721,30803.05645405315
baseline,42,checkpoints/baseline/best.pt,Bobby Nobody - Stitch Up,bass,1.113054871559143,-3.911557841246638,nan,0.6795375657480789,2.723875670425873,24300721,30803.05645405315
baseline,42,checkpoints/baseline/best.pt,Bobby Nobody - Stitch Up,other,-8.069907188415527,0.5318336753648976,nan,-5.382433044731322,1.1287558577374877,24300721,30803.05645405315
baseline,42,checkpoints/baseline/best.pt,Buitraker - Revo X,vocals,-3.685637950897217,-11.97508543724784,nan,-4.899090932545618,-1.5974350238232553,24300721,38867.537591955625
baseline,42,checkpoints/baseline/best.pt,Buitraker - Revo X,drums,5.356589317321777,1.147597568655485,nan,4.697379169343396,7.454702074987694,24300721,38867.537591955625
baseline,42,checkpoints/baseline/best.pt,Buitraker - Revo X,bass,0.12986470758914948,-6.7270966560683565,nan,-0.3778270419363889,-9.593894125900178,24300721,38867.537591955625
baseline,42,checkpoints/baseline/best.pt,Buitraker - Revo X,other,-7.351626396179199,0.6940802264845997,nan,-3.7359704036181727,1.1795218659239048,24300721,38867.537591955625
baseline,42,checkpoints/baseline/best.pt,Carlos Gonzalez - A Place For Us,vocals,-1.7145590782165527,-9.326687735132102,nan,-3.128332067863857,0.5981830357554043,24300721,34185.748941032216
baseline,42,checkpoints/baseline/best.pt,Carlos Gonzalez - A Place For Us,drums,0.11652383208274841,-1.1096359382039507,nan,-1.6079770126802617,12.811985249782323,24300721,34185.748941032216
baseline,42,checkpoints/baseline/best.pt,Carlos Gonzalez - A Place For Us,bass,-5.536388874053955,-13.4223890059214,nan,-9.550645102754853,4.842522589934199,24300721,34185.748941032216
baseline,42,checkpoints/baseline/best.pt,Carlos Gonzalez - A Place For Us,other,-4.529265880584717,1.2857818666330016,nan,-3.7743109515458606,2.2042454575998027,24300721,34185.748941032216
baseline,42,checkpoints/baseline/best.pt,Cristina Vane - So Easy,vocals,-1.6262681484222412,-6.680495277468898,nan,-0.9115646569492477,1.2896434268998478,24300721,35290.621440974064
baseline,42,checkpoints/baseline/best.pt,Cristina Vane - So Easy,drums,7.079195499420166,-1.0173422852922944,nan,6.953584517365655,1.7673353034136132,24300721,35290.621440974064
baseline,42,checkpoints/baseline/best.pt,Cristina Vane - So Easy,bass,-1.1817160844802856,-5.719155794042193,nan,-0.030814280065096067,-19.683972107448017,24300721,35290.621440974064
baseline,42,checkpoints/baseline/best.pt,Cristina Vane - So Easy,other,-8.641460418701172,0.36016696407494897,nan,-7.607591743628907,1.5205328792345365,24300721,35290.621440974064
baseline,42,checkpoints/baseline/best.pt,Detsky Sad - Walkie Talkie,vocals,-8.417723655700684,-7.986108477795851,nan,-3.2892580651425964,1.865385549732446,24300721,26070.710018044338
baseline,42,checkpoints/baseline/best.pt,Detsky Sad - Walkie Talkie,drums,1.3076837062835693,0.7192568247418014,nan,2.4372225538279193,7.335333933701738,24300721,26070.710018044338
